Bestellnummer;Artikelnummer;Produktname;Variantenname;Anzahl;Einzelpreis;Mengenrabatt;Gesamtpreis;Steuer
"3123";"HP-26-6_12046";"Tribal Holz Piercing Expander braun Spirale Boneinlay Bonespitze weiß Tamarindholz Plug Tunnel";"<strong>Bitte wählen Sie unter folgenden Möglichkeiten</strong>: Größen 06 mm";"1";"8,36";"0,00";"9,95";"19.00";
"3123";"BP-08-6_12416";"Brass Piercing Spirale Raisin Inlay schwarz gold Spiralmuster Plug Expander Ohrstecker";"<strong>Bitte wählen Sie unter folgenden Möglichkeiten</strong>: Größen 06 mm";"1";"20,92";"0,00";"24,90";"19.00";
"3123";"HEX-45";"Tribal Buffalo Horn Piercing Expander schwarz Schuppen Spirale 6 mm Plug Ohrhänger Ohrstecker";"";"1";"10,88";"0,00";"12,95";"19.00";
